reason,importance
I have a serious medical emergency today,High
I need to visit hospital for treatment,High
My father met with an accident today,High
I am suffering from severe health issues,High
Urgent medical checkup at nearby hospital,High
I need to donate blood at hospital,High
My mother is admitted in hospital,High
I need to accompany a patient for surgery,High
I have sudden fever and need medical attention,High
I need to attend an emergency medical test,High
I need to visit doctor due to injury,High
I have an emergency health issue at home,High
I need to attend a medical emergency of my sibling,High
I was advised complete rest by doctor,High
I need to collect urgent medical reports,High
,
I have to attend a family function today,Normal
I need to go home for personal reasons,Normal
I have some important personal work outside,Normal
I need permission to attend family event,Normal
I have an appointment with a government office,Normal
I need to attend a family meeting,Normal
I need to renew my ID documents,Normal
I have to attend a bank-related work,Normal
I need to visit a government office for verification,Normal
I need to attend a relativeâ€™s ceremony,Normal
I need to attend a personal appointment,Normal
I have to take care of family responsibilities,Normal
I need to visit my hometown for urgent work,Normal
I need to attend a legal or official meeting,Normal
I need to submit important documents outside campus,Normal
,
I want to go out for watching a movie,Low
I plan to hang out with my friends,Low
I want to attend a birthday party,Low
I need to go outside for shopping,Low
I want to go out for entertainment purposes,Low
I want to visit a mall nearby,Low
I want to attend a casual get-together,Low
I want to go out for dinner with friends,Low
I want to attend a festival celebration,Low
I want to go for leisure activities,Low
I want to go out for personal enjoyment,Low
I want to attend a party outside campus,Low
I want to relax outside for some time,Low
I want to go out for non-urgent personal work,Low
I want to go for sightseeing nearby,Low
